Brand,Name,80+ Rating,Wattage,Price,URL,Timestamp
Silverstone,Strider ST750-EF,White,750,229,https://czone.my/czone/sst-st750-ef-1739107003.html,2025-03-19 14:38:47
Thermaltake,Toughpower GF 750,Gold,750,422,,2025-01-05 00:00:00
Thermaltake,Toughpower GF 850,Gold,850,457,,2025-01-05 00:00:00
Thermaltake,Toughpower GF3,Gold,1050,645,https://czone.my/czone/thermaltake-toughpower-gf3-power-supply.html,2025-03-19 14:38:51
Asus,TUF Gaming,Gold,1200,1149,https://czone.my/czone/tuf-gaming-1200g-7428.html,2025-03-19 14:38:47
Asus,TUF Gaming,Gold,850,749,https://czone.my/czone/tuf-gaming-850g-1739107082.html,2025-03-19 14:38:47
Asus,TUF Gaming,Gold,750,709,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gold-series-atx-80-plus-gold-full-modular-power-supply?_pos=24&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:51
Asus,TUF Gaming,Gold,1000,926,https://brightstarcomp.com/collections/pc-components/products/asus-tuf-gaming-gold-series-atx-80-plus-gold-full-modular-power-supply?_pos=24&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:51
Gigabyte,UD1000GM,Gold,10000,729,https://czone.my/czone/gp-ud1000gm%20pg5-1739103417.html,2025-03-19 14:38:51
Gigabyte,UD750GM,Gold,750,449,https://czone.my/czone/gp-ud750gm%20pg5-1739103417.html,2025-03-19 14:38:47
Gigabyte,UD850GM,Gold,850,399,https://czone.my/czone/gigabyte-udx50gm-gold-power-supply-80plus-gold-full-modular.html,2025-03-19 14:38:51
Cooler Master,V1300,Platinum,1300,1349,,2025-01-05 00:00:00
Cooler Master,V650,Gold,650,515,,2025-01-05 00:00:00
FSP,Vita GD,Gold,750,359,https://brightstarcomp.com/collections/pc-components/products/fsp-vita-gd-atx3-1-pcie5-1-series-atx-80-plus-gold-full-modular-power-supply?_pos=47&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:52
FSP,Vita GD,Gold,850,389,https://brightstarcomp.com/collections/pc-components/products/fsp-vita-gd-atx3-1-pcie5-1-series-atx-80-plus-gold-full-modular-power-supply?_pos=47&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:52
FSP,Vita GM,Gold,850,609,https://czone.my/czone/vita-850gm-1739107182.html,2025-03-19 14:38:47
FSP,Vita GM,Gold,850,609,https://brightstarcomp.com/collections/pc-components/products/fsp-vita-gm-atx3-1-pcie5-1-series-atx-80-plus-gold-full-modular-power-supply?_pos=48&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:52
FSP,Vita GM,Gold,1000,689,https://brightstarcomp.com/collections/pc-components/products/fsp-vita-gm-atx3-1-pcie5-1-series-atx-80-plus-gold-full-modular-power-supply?_pos=48&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:52
FSP,Vita GM 1000,Gold,1000,709,https://czone.my/czone/vita-1000gm-1739107181.html,2025-03-19 14:38:47
FSP,Vita GM 850,Gold,850,629,https://czone.my/czone/vita-850gm-wht-1739107182.html,2025-03-19 14:38:47
Super Flower,Zillion,Bronze,650,249,https://brightstarcomp.com/collections/pc-components/products/super-flower-zillion-bronze-atx-650w-80-bronze-power-supply?_pos=74&_fid=3fbac5c43&_ss=c,2025-03-18 22:11:55
